aightz;oke dan
a batterij zwak;geen kracht meer
boeng;goed
adham;player
aftjappen;afhouden
afoe;half, beetje, trekje
Agga;Den Haag
a jump;vechtpartij
aks;vraag
alles chill;alles goed
alli;Almere
a mang echt;hij is goed
A mos;He gozer
ankeren;ne*ken
anoe;hand
anoesaj;oh nee he
anoeska;aftrekken
Anyway;maar ja
as if; jaja
a sma spang;ze is lekker
Aight;oke / goed
asie;hasj
apa kabar?;hoe gaat het?
baik;goed
bajes;gevangenis
baken;shitzooi
bakkeluloe;wiet
bakra;een blanke
bakroe;kwade geest
bakaptaka;op z’n hondjes
balanda;Nederland
balizie;politie
ballen;sex hebben
balu;shit (waarom dan!!)
bana;pik tolli
banamba;een dans
bananas;hype shit
Bangsa;volk
baniz;goed
bankoe;50 gulden
barkie;100 gulden
batas;schoenen
batten;slaan
bazz;shit
B-Boys;toffe jongens
b boy;breakdancer
beatrix;gulden
beckenbauer;iemand met een opvallend brede mond
beef;ruzie
beemer;B.M.W.
beest;goed
BEMPI;B.M.W.
benoekoe;beneden
benzibox;autoradio
beren;aanklagen
beveri;Beverwaard
bierie;bier
bigi anu;big man, the big shot
bigi fasi;kapsones
bibi binzi;mercedes
billenmattie;beste vriend
bimre;Bijlmer
bai kas; naar huis
bitch;kreng
bla;bullshit
blackatoly;waterpistool
blaster;geweer
blemmen;verraden
bling bin;juwelen
blood;homie
blunt;joint
bobs;borsten
boega;oke is goed
boeler;homo
boeng;goed
BOKS;hand geven
boneles;zonder botten / een slap iemand
bon;goed, flex
bonken;gooien
booka;respect
boeken;rijden
bosjes;uitgelult
bo slecta;goeie plaat
bossen;slaan
bossie;zoen
boudit;master
brada;broer
bradaz;broers
brainwash;gek
brasa;omhelzen
brentje;brand new
breetie;blij
brokken;iemand standje geven
broeia;boos
cala boca;hou je mond
capish;begrepen
Centje;CS
challa;tot ziens
chan chan;billen
chillen;relaxen
chick;meisje
chikie;lekker ding
chimeid;vriendin / meisje
ching chawa;kwartje
choken;blowen
choppen;ne*ken
chronic;wiet
ckotto;gevouwen jurk
Click;gang
come again;herhaling
como esta;hoe gaat het?
commadant;agent
condoekoe;conducteur
conjo;kut
constantin;dom
conta;hoe gaat ie?
cross culture;gemengd cultuur
curva;mooi meisje
cutty ranks;wegwezen
cuty;lekkertje
da bomb;het einde
da don;ik ben rijk
daggoe;hond
dalijk;straks
dampoe;stank
Damsko;Amsterdam
damn;fucked up
dang;straat
dede;dood, saai
deisje;rustig aan
dieken;bemoeien
die kill wandelt;die kil is lekker
djaffen;opscheppen
djonko;joint
djoeka;aap
do;geld
doedoe;mama
doekoe;geld
doekoeloos;geen geld
dokken;neergaan
donni;10 gulden
doos;kut
dope;cool, te gek
dottie;vies
droengoe;dronken
droog;nep
DUH;natuurlijk
duidelijk;geen twijfel
dummi;gekkie
dushi;schatje
duuh;oud nieuws
dyna;gruwelijk
eindscko;Eindhoven
fa2;grapje
faja;erg / moeilijk
faja;hot
fake;nep
famiri;gezin
fassen;aanraken
fatoe;onzin
fattoe;grap
fawaka;hoe gaat het?
FESA;feest
fitty;vechten
flaka a tori;iets in de gaten houden
flashen;iemand in de maling nemen
flex;cool
flex;relax
flokker op;donder op
flowa;weggaan
flowen;iemand versieren
fly;knap
fly;doop, cool
flygirls;kanppe meiden
Foeroe;lauw
fawaka;hoe gaat het?
fok op;vervelend
fonna;telefoon
for real;echt waar
fo sho;echt waar
franco++++;geld
freak;mafkees
freeze;blijf staan
fromoe;schiet op
fucker;klootzak
ga das;ga weg
ga loezoe; ga weg
gangster;tof, gaaf
gardasj;vriend
gejenst;gedist
gila;gulden
giorgo;de man
gi wan pingi;geef een seintje
goud;cool
gratie;wegwezen
gramma;oma
grampa;opa
gravy;cool
griedie;gierig
grill;gezicht
Grontjie;Groningen
GRUW;gruwelijk
gruwelijk;moeilijk
haar a dang;weg gaan
hard;vies
hebimento;geweldig
he santi;Hoogezand
het doet;te gek, mooi
het klapt;het gaat goed
hip;stoer
hodeer niet;verveel niet
holla;later
holler;nu meteen
hopy;veel
hosselen;versieren
how’s life;hoe gaat het?
ibahas;politie
icecreaman;drugsdealer
idi;hoofd
ie weinig;je bent waardeloos
ill shit;da bomb
illest;gaafst
in de flow zijn;in de beginfase van een relatie zijn
inter;tof
inter…;boeiend
jeh grabbing;snappie?
jiggy;tof
jo;hoi
joeka;aap
joint;een tof lied
joke;grapje
joppe;werken
jonko;weed / joint
ju e lauw / ben je lauw?;Ben je gek ofzo?
kabel;maat,brada
kabritoe;giet
kaboela;surinaamse muziek
kaise;hoe gaat het?
kampung;rose buurt
kappie;kapsones
kapot;lelijk
karta;kaart
kas gaan;weg gaan
kassis;shit
kaolo;kontgat
keten;stelen,jatten
kieren;ballen
kieren;ne*ken
kikiriekie;lelijk
kil;man
kill;kerel
kino;film
kisengmooi;goed voor je
klari;ne*ken
klef;vet
kloppen;aftrekken
knopje;leuk
koeli;sjouer
koolio;toffe gast
koekroe;taki
koeli;gekke
koullo;brada
kranka;gek
kraktisupu;kracht soep
krasbal;soa
krasi;geil
krossies;kleren
kuta;hond
kwaka;leuk
kwekku;praten
laamraoui;dopest
laf ya;love you
lagi;laag
lakoenza;geld
la Rouge;een bende
latra;laterzzz
latr@;laters
lauw;relaxed
legualeza;iemand die veel weet en uitlegt
leipe frea;idioot
lekka lek;lekker chiq
lekker doen;iemand die interessant loopt te doen
lelijk;errug
libieloos;levenloos
lijn 11;lopen
likecind;vriendelijk
liptenays;lippen
liti;licht
loco;trein
loco;nadenken
loent;cool
loesoe;weggaan
loos;lomp, dom
loto;5 piek
lyrics;songteksten
Ma crib;huis
macfees;mafkees
maddish;helemaal maf
mang;of niet
ma pampang;mijn bil
ma shit;mijn zaakjes
mastah;de baas
masten;masturberen
MASTER;meesterlijk
master swa;mister cool
masterlijk;cool
Masterdam;Amsterdam
matie;vriend
mentos;ongesteld
merrie;een mercedes
method;wiet
meti;vlees
mi abi spier;ik heb een harde
mi de;het gaat
mi gado;mijn god
mi goedoe;mijn schatje
mi lob you;I love you
mitti;meisje
mobila;phone
moeilijk;impressive
mokro;marokaan
moffo;mond
mo money;meer geld
morajka;lekkere meid
mos;gozer
motta;wiet
mulut;mond
nacken;slaan
nafnoe;kissie
naki wan inter;belazeren
nakken;stelen
nan da yo;wat moet je?
narren;iemand vervelen
nasty;ranzig
netjes;goed zo
nigga;neger
nivi;mes
njang mi m;kus m’n reet
no badda;geen zorgen
no mang;nee man
no spang;no probs, geen zorgen
normoelulu;normaal
oema;meisje
offie;politie
oldies;oude mensen
op een feest boren;zonder uitnodiging op feest
opjenssen;oprotten
oplossen;weggaan
one;doei
onmin;heel erg
ommin en lauw; te erg
on te bont;lauw
onyx;dope
ordes;in orde
oso;huis
oso cee;naar huis
ossel;huis
Outka;Utrecht
ouwe;vriend
pana;gepoord
panja;te gek
panja;dronken
panne;shit
pantat;kont
pape;vriend
papfles;0,0 (hij/zij is niks waard)
para;kapot
para;gek maken
pataaaat;shit he
pata;gympie
patta’s;schoenen
peepz;gangsta
pezavenk;pooier
phat;vet, cool
pienaren;in armoede leven
pierie tiefie;lachen
pikaan;weg gaan
pipa;pistool
pit;joint
pitt;wiet
plaeze;astublieft
plastic;credit card
playa;pooier
player;casanova
player;doet met iedereen
pocket;gsm
poenta;kut
poenta, poeni;doosje
poeny;vagina
poese;kut
pokoe;muziek
pokoes;songs
porfoto;Rotterdam
porie;nep
portjie;zaktelefoon
pot;lesbie
prakseri;denken
prikken;ne*ken
pro-beren;profiteren
proeka;pruik
rais tha;feesten tot
relaxed;rustig
remi;alleen
ride;auto
riden;chillen
rippen;jatten
rocken;dragen
Roffadam;Rotterdam
ruff ryden;skatten
Saen-Boogie-Dam;Zaandam
sagbi;vriend
saja luku;hou je bek
